;;;;
;49;3;211;238
;3;-127;255;183
;-127;-116;255;149
;-116;-65;247;202
;-65;10;218;231
;10;49;213;237
;49;-18;222;227
;-18;-97;255;187
;-97;-79;255;175
;-79;-7;238;211
;-7;41;218;231
;41;42;204;245
;42;-10;228;222
;-10;-29;248;201
;-29;-6;237;212
;-6;24;219;230
;24;18;215;234
;18;-10;234;215
;-10;4;239;210
;4;29;218;231
;29;24;213;236
;24;0;226;223
;0;-3;231;218
;-3;7;229;220
;7;14;224;225
;14;15;222;227
;15;14;224;225
;14;8;226;223
;8;2;228;221
;2;-7;232;217
;-7;-12;234;215
;-12;-13;235;214
;-13;-7;233;216
;-7;-7;232;217
;-7;-1;230;219
;-1;8;229;220
;8;13;224;225
;13;-11;229;220
;-11;-27;241;208
;-27;-19;241;208
;-19;5;229;220
;5;10;226;224
;10;8;227;222
;8;16;224;225
;16;16;223;226
;16;-51;255;194
;-51;-27;248;201
;-27;10;226;223
;10;17;222;227
;17;24;222;228
;24;20;221;228
;20;14;222;227
;14;8;224;225
;8;0;230;219
;0;2;232;217
;2;8;228;221
;8;13;224;225
;13;11;225;224
;11;9;225;224
;9;7;226;223
;7;6;226;224
;6;10;226;224
;10;16;224;226
;16;18;221;228
;18;13;223;226
;13;11;226;223
;11;15;225;224
;15;17;223;226
;17;15;224;225
;15;17;223;226
;17;15;223;226
;15;14;223;226
;14;11;226;223
;11;10;226;223
;10;11;225;224
;11;9;225;224
;9;4;228;221
;4;8;226;223
;8;10;223;226
;10;6;229;221
;6;1;231;219
;1;-13;232;217
;-13;-20;237;212
;-20;-14;239;210
;-14;15;225;224
;15;5;223;226
;5;-7;230;219
;-7;-4;232;217
;-4;-7;233;216
;-7;-2;232;217
;-2;2;230;219
;2;10;224;225
