Listen port 8000
2013-06-10 15:38:40 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:38:41 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:38:41 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:38:41 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:38:43 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:38:56 ['$master,205,205,1,1,1', '$slave,205,205', '$counter,0,0']
2013-06-10 15:38:56 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:38:56 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:38:57 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:38:57 ['$master,225,225,1,1,1', '$slave,225,225', '$counter,0,0']
2013-06-10 15:38:57 ['$master,230,230,1,1,1', '$slave,230,230', '$counter,0,0']
2013-06-10 15:38:58 ['$master,235,235,1,1,1', '$slave,235,235', '$counter,0,0']
2013-06-10 15:38:58 ['$master,240,240,1,1,1', '$slave,240,240', '$counter,0,0']
2013-06-10 15:38:58 ['$master,245,245,1,1,1', '$slave,245,245', '$counter,0,0']
2013-06-10 15:38:59 ['$master,250,250,1,1,1', '$slave,250,250', '$counter,0,0']
2013-06-10 15:38:59 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:38:59 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:39:10 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,12,0']
2013-06-10 15:39:13 ['$master,205,205,1,1,1', '$slave,205,205', '$counter,0,0']
2013-06-10 15:39:13 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:39:14 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:39:14 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:39:16 ['$master,230,210,1,1,1', '$slave,230,210', '$counter,0,0']
2013-06-10 15:39:17 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:39:19 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:39:20 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:39:21 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:39:21 ['$master,225,225,1,1,1', '$slave,225,225', '$counter,0,0']
2013-06-10 15:39:22 ['$master,230,230,1,1,1', '$slave,230,230', '$counter,0,0']
2013-06-10 15:39:22 ['$master,235,235,1,1,1', '$slave,235,235', '$counter,0,0']
2013-06-10 15:39:23 ['$master,240,240,1,1,1', '$slave,240,240', '$counter,0,0']
2013-06-10 15:39:23 ['$master,245,245,1,1,1', '$slave,245,245', '$counter,0,0']
2013-06-10 15:39:23 ['$master,250,250,1,1,1', '$slave,250,250', '$counter,0,0']
2013-06-10 15:39:24 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:39:24 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:39:25 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:39:47 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:39:53 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:39:53 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:39:54 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:39:55 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:39:55 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:39:55 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:39:56 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:40:16 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:40:17 ['$master,205,205,1,1,1', '$slave,205,205', '$counter,0,0']
2013-06-10 15:40:17 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:40:17 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:40:18 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:40:18 ['$master,225,225,1,1,1', '$slave,225,225', '$counter,0,0']
2013-06-10 15:40:18 ['$master,230,230,1,1,1', '$slave,230,230', '$counter,0,0']
2013-06-10 15:40:19 ['$master,235,235,1,1,1', '$slave,235,235', '$counter,0,0']
2013-06-10 15:40:19 ['$master,240,240,1,1,1', '$slave,240,240', '$counter,0,0']
2013-06-10 15:40:19 ['$master,245,245,1,1,1', '$slave,245,245', '$counter,0,0']
2013-06-10 15:40:20 ['$master,250,250,1,1,1', '$slave,250,250', '$counter,0,0']
2013-06-10 15:40:20 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:40:20 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:40:30 ['$master,205,205,1,1,1', '$slave,205,205', '$counter,0,0']
2013-06-10 15:40:30 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:40:31 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:40:31 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:40:32 ['$master,225,225,1,1,1', '$slave,225,225', '$counter,0,0']
2013-06-10 15:40:32 ['$master,230,230,1,1,1', '$slave,230,230', '$counter,0,0']
2013-06-10 15:40:32 ['$master,235,235,1,1,1', '$slave,235,235', '$counter,0,0']
2013-06-10 15:40:32 ['$master,240,240,1,1,1', '$slave,240,240', '$counter,0,0']
2013-06-10 15:40:33 ['$master,245,245,1,1,1', '$slave,245,245', '$counter,0,0']
2013-06-10 15:40:33 ['$master,250,250,1,1,1', '$slave,250,250', '$counter,0,0']
2013-06-10 15:40:33 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:40:34 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:41:44 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,67,0']
2013-06-10 15:41:44 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:41:44 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:41:45 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:41:45 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:41:47 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:41:47 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:41:48 ['$master,205,205,1,1,1', '$slave,205,205', '$counter,0,0']
2013-06-10 15:41:48 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:41:49 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:41:49 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
